event,date,label,image
http://www.wikidata.org/entity/Q6023927,1913-01-01T00:00:00Z,Indianapolis Streetcar Strike of 1913,http://commons.wikimedia.org/wiki/Special:FilePath/Crowd%20swarms%20streetcar%20in%201913%20Indianapolis%20Streetcar%20Stirke.jpg
http://www.wikidata.org/entity/Q7073405,1920-01-01T00:00:00Z,Oahu Sugar Strike of 1920,http://commons.wikimedia.org/wiki/Special:FilePath/Oahu%20sugar%20strike%20of%201920.png
http://www.wikidata.org/entity/Q9237079,2013-01-01T00:00:00Z,2013 Hong Kong dock strike,http://commons.wikimedia.org/wiki/Special:FilePath/Hong%20Kong%20dock%20strike%202012.jpg
http://www.wikidata.org/entity/Q11870881,1949-08-18T00:00:00Z,1949 Kemi strike,http://commons.wikimedia.org/wiki/Special:FilePath/Kemi%20strikes%201949.jpg
http://www.wikidata.org/entity/Q1787420,2010-09-30T00:00:00Z,2010 Ecuador crisis,http://commons.wikimedia.org/wiki/Special:FilePath/Rafael%20Correa%20presidenciagovar%2015ENE07.jpg
http://www.wikidata.org/entity/Q2918374,1997-09-06T00:00:00Z,"funeral of Diana, Princess of Wales",http://commons.wikimedia.org/wiki/Special:FilePath/Diana%27s%20funeral.jpg
http://www.wikidata.org/entity/Q3090984,2006-12-30T00:00:00Z,death and state funeral of Gerald Ford,http://commons.wikimedia.org/wiki/Special:FilePath/Lying%20in%20State%20-%20President%20Gerald%20Ford%20%288288035735%29.jpg
http://www.wikidata.org/entity/Q5247273,1994-04-27T00:00:00Z,death and funeral of Richard Nixon,http://commons.wikimedia.org/wiki/Special:FilePath/Presidents%20at%20the%20funeral%20of%20President%20Richard%20Nixon.jpg
http://www.wikidata.org/entity/Q5247275,2011-08-01T00:00:00Z,Death and state funeral of Jack Layton,http://commons.wikimedia.org/wiki/Special:FilePath/Jack%20Layton%20memorial%20statue%2001.jpg
http://www.wikidata.org/entity/Q5509126,1910-05-20T00:00:00Z,Funeral of King Edward VII,http://commons.wikimedia.org/wiki/Special:FilePath/Body%20of%20King%20Edward%20en%20route%20to%20Westminster%20LCCN2014688203.jpg
