,Name,Birthdate
0,J.K. Rowling,1965-07-31
1,Suzanne Collins,1962-08-10
2,Stephenie Meyer,1973-12-24
3,Harper Lee,1926-04-28
4,F. Scott Fitzgerald,1896-09-24
5,Jane Austen,1775-12-16
6,J.R.R. Tolkien,1892-01-03
7,George Orwell,1903-06-25
8,Anne Frank,1929-06-12
9,J.D. Salinger,1919-01-01
10,Dan Brown,1964-06-22
11,Stieg Larsson,1954-08-15
12,Khaled Hosseini,1965-03-04
13,William Golding,1911-09-19
14,Paulo Coelho,1947-08-24
15,C.S. Lewis,1898-11-29
16,Rick Riordan,1964-06-05
17,George R.R. Martin,1948-09-20
18,John Steinbeck,1902-02-27
19,Alice Sebold,1963-09-06
20,Markus Zusak,1975-06-23
21,Lois Lowry,1937-03-20
22,Louisa May Alcott,1832-11-29
23,Arthur Golden,1956-12-06
24,Charlotte Brontë,1816-04-21
25,Cassandra Clare,1973-07-27
26,Margaret Atwood,1939-11-18
27,Antoine de Saint-Exupéry,1900-06-29
28,Audrey Niffenegger,1963-06-13
29,Aldous Huxley,1894-07-26
30,Douglas Adams,1952-03-11
31,Elizabeth Gilbert,1969-07-18
32,Christopher Paolini,1983-11-17
33,Emily Brontë,1818-07-30
34,Nicholas Sparks,1965-12-31
35,Stephen Chbosky,1970-01-25
36,Yann Martel,1963-06-25
37,Philip Pullman,1946-10-19
38,Mark Haddon,1962-09-26
39,Mary Wollstonecraft Shelley,1797-08-30
40,Stephen King,1947-09-21
41,Shel Silverstein,1930-09-25
42,Orson Scott Card,1951-08-24
43,Kurt Vonnegut Jr.,1922-11-11
44,Mark Twain,1835-11-30
45,Sue Monk Kidd,1948-08-12
46,Oscar Wilde,1854-10-16
47,Margaret Mitchell,1900-11-08
48,Madeleine L'Engle,1918-11-29
49,S.E. Hinton,1948-07-22
50,Elie Wiesel,1928-09-30
51,Louis Sachar,1954-03-20
52,Bram Stoker,1847-11-08
53,Frank Herbert,1920-10-08
54,Agatha Christie,1890-09-15
55,Jeannette Walls,1960-04-21
56,Frances Hodgson Burnett,1849-11-24
57,Jon Krakauer,1954-04-12
58,Ernest Hemingway,1899-07-21
59,Diana Gabaldon,1952-01-11
60,Helen Fielding,1958-02-19
61,Maurice Sendak,1928-06-10
62,Mitch Albom,1958-05-23
63,Charles Dickens,1812-02-07
64,Jay Asher,1975-09-30
65,Michael Crichton,1942-10-23
66,Gabriel García Márquez,1927-03-06
67,L.M. Montgomery,1874-11-30
68,Albert Camus,1913-11-07
69,William Goldman,1931-08-12
70,Neil Gaiman,1960-11-10
71,Lauren Weisberger,1977-03-28
72,Patrick Rothfuss,1973-06-06
73,Gillian Flynn,1971-02-24
74,Alexandre Dumas,1802-07-24
75,Cormac McCarthy,1933-07-20
76,Franz Kafka,1883-07-03
77,Steven D. Levitt,1967-05-29
78,Dale Carnegie,1888-11-24
79,Joseph Heller,1923-05-01
80,John Grisham,1955-02-08
81,Malcolm Gladwell,1963-09-03
82,Roald Dahl,1916-09-13
83,Leo Tolstoy,1828-09-09
84,Fyodor Dostoevsky,1821-11-11
