,Name,Birthdate
0,Meredith MacNeill,1975-06-19
1,Melvin Van Peebles,1932-08-21
2,Michael Starke,1957-11-13
3,Ralf Wolter,1926-11-26
4,Beate Finckh,1960-04-22
5,Fay Bainter,1893-12-07
6,Louise Brooks,1906-11-14
7,Shaye Cogan,1923-09-20
8,Jennifer Coolidge,1961-08-28
9,Sarah Brightman,1960-08-14
10,Gijs Scholten van Aschat,1959-09-16
11,Suthi Veerabhadra Rao,1947-06-06
12,Ana Maria Popa,1990-02-25
13,Carly Rae Jepsen,1985-11-21
14,T-Pain,1984-09-30
15,Robert Priest,1951-07-10
16,Bernard Giraudeau,1947-06-18
17,Carolyn Hennesy,1962-06-10
18,Bruno Wolkowitch,1961-05-10
19,Pauly Shore,1968-02-01
20,Yoshio Harada,1940-02-29
21,John Paul Ruttan,2001-05-12
22,John Brumpton,1958-07-28
23,Stephen Wheeler,1986-10-16
24,Claudio Bigagli,1955-12-08
25,Bruce Jarchow,1948-05-19
26,Heinz Engelmann,1911-01-14
27,Ronald Leigh-Hunt,1920-10-05
28,Károly Makk,1925-12-22
29,Alex Brightman,1987-02-05
30,Acun Ilicali,1969-05-29
31,Jordan Brower,1981-10-14
32,Tia Carrere,1967-01-02
33,Margot Rose,1956-07-17
34,Paz Vega,1976-01-02
35,Vinay Rai,1979-09-18
36,Jules Asner,1968-02-14
37,Harriet Toompere,1975-05-22
38,Nancy Barrett,1941-10-05
39,Alex Boye,1970-08-16
40,Jennifer Lyons,1972-02-27
41,Nana Bryant,1888-11-23
42,Avery Brooks,1948-10-02
43,Renée Jones,1958-10-15
44,Caleb Landry Jones,1989-12-07
45,Cassandra Peterson,1951-09-17
46,Marlo Thomas,1937-11-21
47,Paulo Tiefenthaler,1968-06-25
48,Chynna Phillips,1968-02-12
49,Patrick Fugit,1982-10-27
50,Håkan Serner,1933-09-01
51,Richard Karron,1934-04-11
52,Sam Corlett,1996-04-24
53,Sif Ruud,1916-05-06
54,Jonathan Keltz,1988-01-17
55,John Baskcomb,1916-02-07
56,Renée Fokker,1961-06-29
57,Mark Bellamy,1950-08-31
58,Ram Charan,1985-03-27
59,Jay Abdo,1962-10-21
60,Cathy Jones,1955-04-06
61,Swaminathan,1959-01-31
62,Yayo Guridi,1965-11-06
63,Jessica Parker Kennedy,1984-10-03
64,Joan Gaspart,1944-10-11
65,Scott Wood,1990-06-21
66,Lisa Barbuscia,1971-06-18
67,Julia Stiles,1981-03-28
68,Steve Boone,1943-09-23
69,Olivia Burnette,1977-03-24
70,Bob Delegall,1945-07-24
71,Sacha Baron Cohen,1971-10-13
72,María Ballesteros,1956-10-30
73,Sean Maguire,1976-04-18
74,Frank Windsor,1928-07-12
75,Eliot Asinof,1919-07-13
76,Bob Saget,1956-05-17
77,Myriam Sirois,1975-02-02
78,Christopher Morley,1890-05-05
79,Rafael Campos,1936-05-13
80,Olaug Nilssen,1977-12-28
81,Vickilyn Reynolds,1955-06-02
82,Christo Jivkov,1975-02-18
83,Maurice Podbrey,1934-04-25
84,DJ Quik,1970-01-18
85,Billy De Wolfe,1907-02-18
86,Bob Mason,1961-04-22
87,Janna Michaels,1983
88,Alex Wehrley,1987-07-29
89,Lionel Stander,1908-01-11
90,Christian Jacobs,1972-01-11
91,Frank Novak,1945-03-04
92,Todd Terry,1967-04-18
93,Peter Lindsay,1944-05-04
94,Mary Black,1955-05-23
95,Terry Duggan,1932-04-15
96,Carl Andre,1935-09-16
97,Bob Costas,1952-03-22
98,Abdi Jama,1982-11-01
99,Sherine,1980-10-08
100,Jim Moody,1935-09-02
101,Giorgio Pasotti,1973-06-22
102,Ally Walker,1961-08-25
103,Moon Geun-young,1987-05-06
104,Omar Benson Miller,1978-10-07
105,Barbara Ferris,1942-07-27
106,Sunshine Parker,1927-06-10
107,Rob Morrow,1962-09-21
108,Rick Mercer,1969-10-17
109,Elmer Ellsworth,1837-04-11
110,Allan Graf,1949-12-16
111,Richard Pasco,1926-07-18
112,Ty Burrell,1967-08-22
113,Serge Rousseau,1930-03-13
114,Helen Goss,1903-10-15
115,Karen Kilgariff,1970-05-11
116,Don Hollenbeck,1905-03-30
117,Samuel Soler,1979-05-18
118,Tamara Toumanova,1919-03-02
119,June Kenney,1933-07-06
120,Charlie Korsmo,1978-07-20
121,John Cleese,1939-10-27
122,Victoria Silvstedt,1974-09-19
123,Therese Giehse,1898-03-06
124,Kseniya Kutepova,1971-08-01
125,Jeff Daniels,1955-02-19
126,Mabel Normand,1893-11-09
127,Shabnam,1946-08-17
128,Dean John-Wilson,1989-06-06
129,Kothuku Nanappan,1935-03-12
130,Mika Doi,1956-08-04
131,Bruce Timm,1961-02-05
132,Ashleigh Aston Moore,1981-11-13
133,Craig Vye,1983-07-19
134,Mehmet Ali Birand,1941-12-09
135,Shane Nigam,1995-12-21
136,Emmy Rossum,1986-09-12
137,Frankie Faison,1949-06-10
138,Michael Mott,1930-12-08
139,Gus Trikonis,1937-11-21
140,Cameron Deane Stewart,1991-04-08
141,Yalitza Aparicio,1993-12-11
142,Bas Rutten,1965-02-24
143,Alo Kõrve,1978-12-02
144,Miodrag Kostic,1959-08-25
145,Dominique Sanda,1951-03-11
146,Prakash Raj,1965-03-26
147,Corinna Everson,1958-01-04
148,Kenny Hotz,1967-05-03
149,Marion Mitterhammer,1965-08-08
150,Ferman Akgül,1979-12-25
151,Martin Boddey,1907-04-16
152,Feodor Chin,1974-08-18
153,Roy Thinnes,1938-04-06
154,Andrew Wall,1984-06-23
155,Peter Hüttner,1945-12-10
156,Jordan Wall,1985-03-22
157,Gladys Hulette,1896-07-21
158,Chris Gantry,1942-12-29
159,Kadhal Thandapani,1943-04-17
160,Italia Almirante-Manzini,1890-06-03
161,Richard Coleman,1930-01-20
162,Adrian Grenier,1976-07-10
163,Bismillah Khan,1916-03-21
164,Sunil Chhabra,1957-06-30
165,Paul Pantano,1982-02-23
166,Tony Plana,1952-04-19
167,Lance Reddick,1962-06-07
168,Barbara Stamm,1944-10-29
169,Dee Bradley Baker,1962-08-31
170,Matthew Ludwinski,1980-09-22
171,Clint Black,1962-02-04
172,Jimmy Witherspoon,1920-08-08
173,Francis Pierlot,1875-07-15
174,Isabel Jeans,1891-09-16
175,Barbara Flynn,1948-08-05
176,Kam Heskin,1973-05-08
177,Hong Chau,1979-06-25
178,Hertha von Walther,1903-06-12
179,Falamak Jonidi,1973-02-03
180,Dennis Haysbert,1954-06-02
181,Daphne Brown,1948-04-28
182,Cameron Crighton,1992-09-09
183,Peggy Feury,1924-06-30
184,Saqib Saleem,1988-04-08
185,Janet Lawson,1940-11-13
186,Solvi Stubing,1941-01-19
187,Torben Liebrecht,1977-12-03
188,Enis Beslagic,1975-01-06
189,Emily Kuroda,1952-10-30
190,Frank Bello,1965-07-09
191,Jim Belushi,1954-06-15
192,Teresa Rabal,1952-11-05
193,Russell Hopton,1900-02-18
194,Shûgo Oshinari,1981-03-05
195,Ed Begley,1901-03-25
196,George Macready,1899-08-29
197,James Beck,1929-02-21
198,Bernie Hamilton,1928-06-12
199,Sibi Thomas,1972-12-15
200,Freya Tingley,1994-03-26
201,Erin Krakow,1984-09-05
202,Jacob Lyon,1996-07-28
203,Jan Uddin,1985-10-22
204,Manav Gohil,1974-11-09
205,Gulshan Bawra,1937-04-12
206,Charley Chase,1893-10-20
207,Dev Gill,1977-10-12
208,Maxine Miller,1928-06-18
209,Pier-Luc Funk,1994-05-05
210,Campbell Cotts,1902-04-21
211,Dave Bautista,1969-01-18
212,Ken Venturi,1931-05-15
213,Chris Patton,1971-03-15
214,Camilla Overbye Roos,1969-01-19
215,Denny Huang,1920-07-24
216,Kishô Taniyama,1975-08-11
217,Lala Kent,1990-09-02
218,Reggie Bennett,1961-01-24
219,Valentina Carnelutti,1973-02-06
220,Nobuyuki Hiyama,1967-08-25
221,Billy Devlin,1969-10-07
222,Ioan Gruffudd,1973-10-06
223,David Oakes,1983-10-14
224,Cliff Edwards,1895-06-14
225,Michèle Moretti,1940-03-15
226,Georges Pompidou,1911-07-05
227,Malcolm Keen,1887-08-08
228,Oliver Ford Davies,1939-08-12
229,Saba Tümer,1970-12-05
230,Virginia Leith,1925-10-15
231,Stefan Gierasch,1926-02-05
232,Charlotte McKinney,1993-08-06
233,Finesse Mitchell,1972-06-12
234,Robert Wisden,1958-06-02
235,Mohammad Kart,1986-04-04
236,Jakob Tiedtke,1875-06-23
237,Joonas Suotamo,1986-10-03
238,Ryan Lewis,1988-03-25
239,Isobelle Molloy,2000-10-06
240,Francesco Messina,1900-12-15
241,Faith Hill,1967-09-21
242,Jimmy Jewel,1909-12-04
243,Robin Klein,1936-02-28
244,Genki Muro,1989-07-31
245,Albert Florath,1888-12-07
246,Subodh Bhave,1975-11-09
247,Matt Damon,1970-10-08
248,Paige Howard,1985-02-05
249,Hazel Doupe,2001-11-12
250,Folker Bohnet,1937-08-07
251,Miracle Laurie,1981-08-01
252,DJ Flava,1980-06-20
253,John Dall,1920-05-26
254,Miriam Flynn,1952-06-18
255,Shin Saburi,1909-02-12
256,Sean Kanan,1966-11-02
257,Roxanne McKee,1980-08-10
258,Sam Lerner,1992-09-27
259,Vittorio Caprioli,1921-08-15
260,Seamus Davey-Fitzpatrick,1998-12-29
261,Peter Mayhew,1944-05-19
262,Ron Moody,1924-01-08
263,Madeline Kahn,1942-09-29
264,Vaughn Taylor,1976-03-09
265,Ricky Harris,1962-10-05
266,Francis Gardner,1771-12-27
267,Tom Everett Scott,1970-09-07
268,Carlo Mazzarella,1919-07-30
269,Ragini Khanna,1987-12-09
270,Sean Astin,1971-02-25
271,Sebastian Stan,1982-08-13
272,Victor Varnado,1969-05-15
273,Tye Sheridan,1996-11-11
274,Lorenzo Balducci,1982-09-04
275,Pieter Jan Brugge,1955-11-06
276,Lena Olin,1955-03-22
277,Koen De Graeve,1972-04-28
278,Jefery Levy,1958-05-21
279,Karla Crome,1988-06-22
280,Hesham Selim,1958-01-27
281,Viola Harris,1920-07-05
282,Leni Lynn,1923-05-03
283,Katherine Paterson,1932-10-31
284,Briana Venskus,1987-08-19
285,Twink Caplan,1947-12-25
286,Libuse Safránková,1953-06-07
287,Craig Barnett,1974-07-16
288,Sukrit Wisetkaew,1985-09-04
289,Devon Terrell,1992-10-23
290,Mani Haghighi,1969-05-04
291,Bruce Thomas,1948-08-14
292,Connor Barrett,1908-01-17
293,Eddie Castrodad,1970-11-16
294,Jonathan Whitesell,1991-08-28
295,Gloria Pall,1927-07-15
296,Craig T. Nelson,1944-04-04
297,Tara Reid,1975-11-08
298,Willie Aames,1960-07-15
299,Davina Whitehouse,1912-12-16
300,Carla Woodcock,1998-10-04
301,Brian Blessed,1936-10-09
302,King Ampaw,1940-07-25
303,Predrag 'Predjo' Vusovic,1960-08-29
304,Camilla Horn,1903-04-25
305,Pinky Lee,1907-05-02
306,J.T. Walsh,1943-09-28
307,Archie Hamilton,1941-12-30
308,Ned Vaughn,1964-11-20
309,Anirudh Ravichander,1990-10-16
310,Elizabeth Jagger,1984-03-02
311,Wendell Pierce,1963-12-08
312,Femi Benussi,1945-03-04
313,Mojtaba Pirzadeh,1986-01-01
314,Pedram Sharifi,1987-08-02
315,Etsushi Takahashi,1935-08-02
316,Patrick White,1912-05-28
317,Kelly Wood,1981-04-08
318,Shaghayegh Farahani,1972-07-24
319,Kurt Nielsen,1930-11-19
320,Elliot Cowan,1976-07-09
321,William Gargan,1905-07-17
322,Marcel Vallée,1880-01-15
323,Rémy Girard,1950-08-10
324,Jose Palma,1876-06-03
325,Barboura Morris,1932-10-22
326,Eloise Mumford,1986-09-24
327,Igor Ivanov,1945-09-23
328,Peter Collingwood,1920-05-06
329,Juliane Köhler,1965-08-06
330,Gaël Morel,1972-09-25
331,Don McKellar,1963-08-17
332,Xavier Beauvois,1967-03-20
333,Aziz Qureshi,1941-04-24
334,Lethal Bizzle,1984-09-14
335,Heath Ledger,1979-04-04
336,Vida Ghahremani,1936-06-12
337,Mel Kiper,1960-07-25
338,Akira Kamiya,1946-09-18
339,Matthew Meese,1983-10-10
340,Marguerite Whitten,1913-02-23
341,Valerie Hobson,1917-04-14
342,Dan Spencer,1965-09-10
343,Katja Herbers,1980-10-19
344,Léa Drucker,1972-01-23
345,Fernanda Romero,1983-10-04
346,Jack Birkett,1934-06-11
347,Fabijan Sovagovic,1932-01-04
348,John Wilmot,1647-04-01
349,Gavan O'Herlihy,1951-07-29
350,James Haven,1973-05-11
351,Laird Hamilton,1964-03-02
352,Aleksandr Demyanenko,1937-05-30
353,Ken Arnold,1958-06-13
354,Bill Thurman,1920-11-04
355,Alex Hafner,1989-04-30
356,Vahide Perçin,1965-06-13
357,Dennis Holmes,1950-10-03
358,Teresa Gimpera,1936-09-21
359,Ian Harding,1986-09-16
360,Hiroyuki Miyasako,1970-03-31
361,Marion Davies,1897-01-03
362,Caroline Loeb,1955-10-05
363,Janet Munro,1934-09-28
364,Natasha Lyonne,1979-04-04
365,Paul Belmondo,1963-04-23
366,Pascale Ogier,1958-10-26
367,Julia Chantrey,1980-04-11
368,Cody Fern,1988-07-06
